,id,name,review_count,category,rating,phone,display_phone,price,coord_lat,coord_long
50,J-jHnvA_D99YqaJAW6IM9w,Le French Tart Deli,30,delis,4.0,19293377888.0,(929) 337-7888,, 40.6996979, -73.99207807017368
52,J-jHnvA_D99YqaJAW6IM9w,Le French Tart Deli,30,bakeries,4.0,19293377888.0,(929) 337-7888,, 40.6996979, -73.99207807017368
54,J-jHnvA_D99YqaJAW6IM9w,Le French Tart Deli,30,sandwiches,4.0,19293377888.0,(929) 337-7888,, 40.6996979, -73.99207807017368
56,YnPNXJvUsn2jymwBeLpQ4g,Mille-Feuille Bakery,155,bakeries,4.5,13473508838.0,(347) 350-8838,, 40.677621, -73.96912
58,YnPNXJvUsn2jymwBeLpQ4g,Mille-Feuille Bakery,155,cookingclasses,4.5,13473508838.0,(347) 350-8838,, 40.677621, -73.96912
60,2VbJqKra1k-4GA4o6-FeTQ,Radio Bakery,24,bakeries,4.5,,,, 40.73237, -73.95511
63,2VbJqKra1k-4GA4o6-FeTQ,Radio Bakery,24,breakfast&brunch,4.5,,,, 40.73237, -73.95511
64,2VbJqKra1k-4GA4o6-FeTQ,Radio Bakery,24,sandwiches,4.5,,,, 40.73237, -73.95511
66,inrdLiBjiJ_ngHXirw4pPg,Lysee,206,desserts,4.0,,,$$$, 40.73917, -73.98819
68,inrdLiBjiJ_ngHXirw4pPg,Lysee,206,coffee,4.0,,,$$$, 40.73917, -73.98819
70,inrdLiBjiJ_ngHXirw4pPg,Lysee,206,panasian,4.0,,,$$$, 40.73917, -73.98819
72,jWC4mD-yy-IzuZxU5ctAKw,Mia's Bakery,1092,bakeries,4.5,13479873194.0,(347) 987-3194,$$, 40.6870199, -73.9901299
74,jWC4mD-yy-IzuZxU5ctAKw,Mia's Bakery,1092,cafes,4.5,13479873194.0,(347) 987-3194,$$, 40.6870199, -73.9901299
76,jWC4mD-yy-IzuZxU5ctAKw,Mia's Bakery,1092,desserts,4.5,13479873194.0,(347) 987-3194,$$, 40.6870199, -73.9901299
78,iTcxncdrcQRK1tdcbFIqGQ,Aux Merveilleux De Fred,457,desserts,4.5,19174751992.0,(917) 475-1992,$$, 40.73835064346807, -74.00412204723874
80,iTcxncdrcQRK1tdcbFIqGQ,Aux Merveilleux De Fred,457,bakeries,4.5,19174751992.0,(917) 475-1992,$$, 40.73835064346807, -74.00412204723874
82,iTcxncdrcQRK1tdcbFIqGQ,Aux Merveilleux De Fred,457,cakeshop,4.5,19174751992.0,(917) 475-1992,$$, 40.73835064346807, -74.00412204723874
84,fb7u7SAvscRrCU7hLMjlEw,Frenchette Bakery,70,bakeries,4.5,12122271787.0,(212) 227-1787,, 40.716923, -74.0067617982603
86,h7M1s9arHO5dcMf-XxzOLA,Ebb & Flow Bakery,28,bakeries,4.0,17186189775.0,(718) 618-9775,, 40.69411, -74.0005
88,h7M1s9arHO5dcMf-XxzOLA,Ebb & Flow Bakery,28,sandwiches,4.0,17186189775.0,(718) 618-9775,, 40.69411, -74.0005
90,h7M1s9arHO5dcMf-XxzOLA,Ebb & Flow Bakery,28,coffee,4.0,17186189775.0,(718) 618-9775,, 40.69411, -74.0005
92,meVzfRH_wLAJjcrCAhkh1g,Patisserie Chanson,506,desserts,4.0,19294238880.0,(929) 423-8880,$$, 40.7417, -73.990571
94,meVzfRH_wLAJjcrCAhkh1g,Patisserie Chanson,506,bakeries,4.0,19294238880.0,(929) 423-8880,$$, 40.7417, -73.990571
97,meVzfRH_wLAJjcrCAhkh1g,Patisserie Chanson,506,breakfast&brunch,4.0,19294238880.0,(929) 423-8880,$$, 40.7417, -73.990571
98,fvDZVAvv_g4L-WWkbDpCXg,Patisserie Claude,273,bakeries,4.0,12122555911.0,(212) 255-5911,$, 40.7327402, -74.0018208
100,fvDZVAvv_g4L-WWkbDpCXg,Patisserie Claude,273,desserts,4.0,12122555911.0,(212) 255-5911,$, 40.7327402, -74.0018208
102,fvDZVAvv_g4L-WWkbDpCXg,Patisserie Claude,273,cafes,4.0,12122555911.0,(212) 255-5911,$, 40.7327402, -74.0018208
104,XvGF2azJZ4iOjllnPDnT1A,Jack's Stir Brew Coffee,45,bakeries,4.0,19175865205.0,(917) 586-5205,$$, 40.71941, -74.004901
106,XvGF2azJZ4iOjllnPDnT1A,Jack's Stir Brew Coffee,45,coffeeroasteries,4.0,19175865205.0,(917) 586-5205,$$, 40.71941, -74.004901
108,aSDGr4NIfm1C6IspWSNaQw,Orwashers,515,bakeries,4.0,12122886569.0,(212) 288-6569,$$, 40.772191, -73.95505
110,Sgh7Uar8wv6WKA-UZ7hcXA,Balthazar Boulangerie,394,bakeries,4.0,12129651785.0,(212) 965-1785,$$, 40.72276, -73.99842
112,Sgh7Uar8wv6WKA-UZ7hcXA,Balthazar Boulangerie,394,desserts,4.0,12129651785.0,(212) 965-1785,$$, 40.72276, -73.99842
114,GVGhfMMEw2TrDh-GGVTUmA,Le French Tart Deli,49,delis,4.5,13479160014.0,(347) 916-0014,, 40.683691, -73.995502
116,GVGhfMMEw2TrDh-GGVTUmA,Le French Tart Deli,49,french,4.5,13479160014.0,(347) 916-0014,, 40.683691, -73.995502
118,GVGhfMMEw2TrDh-GGVTUmA,Le French Tart Deli,49,macarons,4.5,13479160014.0,(347) 916-0014,, 40.683691, -73.995502
120,qpj8kc8y3SgLA6GWkVgX3g,Partybus Bakeshop,64,bakeries,4.5,19172620732.0,(917) 262-0732,$, 40.715981, -73.989862
122,qpj8kc8y3SgLA6GWkVgX3g,Partybus Bakeshop,64,coffee,4.5,19172620732.0,(917) 262-0732,$, 40.715981, -73.989862
124,qpj8kc8y3SgLA6GWkVgX3g,Partybus Bakeshop,64,sandwiches,4.5,19172620732.0,(917) 262-0732,$, 40.715981, -73.989862
126,mv3qOn0hKd3Zx9kJYxqFGw,Heritage Grand Bakery,66,bakeries,4.5,12124199163.0,(212) 419-9163,, 40.752312, -73.982668
129,mv3qOn0hKd3Zx9kJYxqFGw,Heritage Grand Bakery,66,breakfast&brunch,4.5,12124199163.0,(212) 419-9163,, 40.752312, -73.982668
130,9A2Kos-54qtumhZfOjJrsw,Delice Macarons,39,macarons,4.5,16469639913.0,(646) 963-9913,, 40.780741294755344, -73.97994394232799
132,VMSlE-GQZhcvkp2Mr03xfA,L'ami Pierre,28,french,4.0,,,, 40.761320187028105, -73.9815026
134,VMSlE-GQZhcvkp2Mr03xfA,L'ami Pierre,28,coffee,4.0,,,, 40.761320187028105, -73.9815026
136,VMSlE-GQZhcvkp2Mr03xfA,L'ami Pierre,28,bakeries,4.0,,,, 40.761320187028105, -73.9815026
138,WHRHK3S1mQc3PmhwsGRvbw,Bibble & Sip,5677,coffee,4.5,16466495116.0,(646) 649-5116,$$, 40.7628355, -73.98518009478293
140,WHRHK3S1mQc3PmhwsGRvbw,Bibble & Sip,5677,bakeries,4.5,16466495116.0,(646) 649-5116,$$, 40.7628355, -73.98518009478293
142,WHRHK3S1mQc3PmhwsGRvbw,Bibble & Sip,5677,desserts,4.5,16466495116.0,(646) 649-5116,$$, 40.7628355, -73.98518009478293
144,bvc5P9vmRiNhyVWjd5bVcg,Eclair Bakery,727,bakeries,4.5,16464298555.0,(646) 429-8555,$$, 40.756689, -73.966617
146,bvc5P9vmRiNhyVWjd5bVcg,Eclair Bakery,727,coffee,4.5,16464298555.0,(646) 429-8555,$$, 40.756689, -73.966617
148,bvc5P9vmRiNhyVWjd5bVcg,Eclair Bakery,727,macarons,4.5,16464298555.0,(646) 429-8555,$$, 40.756689, -73.966617
150,g9R4NRonO1F8k77qv4Hx0A,Les Gateaux De Marie,26,bakeries,4.5,19299881582.0,(929) 988-1582,, 40.77445, -73.95093
152,g9R4NRonO1F8k77qv4Hx0A,Les Gateaux De Marie,26,cakeshop,4.5,19299881582.0,(929) 988-1582,, 40.77445, -73.95093
154,g9R4NRonO1F8k77qv4Hx0A,Les Gateaux De Marie,26,cupcakes,4.5,19299881582.0,(929) 988-1582,, 40.77445, -73.95093
156,yVWKOC3QNwCElj-qUj1bFA,Pierre & Michel Authentic French Bakery,263,bakeries,4.5,12013006580.0,(201) 300-6580,$$, 40.9197, -74.12436
158,yVWKOC3QNwCElj-qUj1bFA,Pierre & Michel Authentic French Bakery,263,cakeshop,4.5,12013006580.0,(201) 300-6580,$$, 40.9197, -74.12436
160,yVWKOC3QNwCElj-qUj1bFA,Pierre & Michel Authentic French Bakery,263,macarons,4.5,12013006580.0,(201) 300-6580,$$, 40.9197, -74.12436
162,csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,1051,french,4.0,12128895489.0,(212) 889-5489,$$, 40.7454079308793, -73.9791478306885
164,csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,1051,salad,4.0,12128895489.0,(212) 889-5489,$$, 40.7454079308793, -73.9791478306885
167,csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,1051,breakfast&brunch,4.0,12128895489.0,(212) 889-5489,$$, 40.7454079308793, -73.9791478306885
168,G9b640a2fZs7s6Q-cWPkiQ,Tin Building by Jean-Georges,140,grocery,4.0,16468686000.0,(646) 868-6000,, 40.706200062546294, -74.00226642004867
171,G9b640a2fZs7s6Q-cWPkiQ,Tin Building by Jean-Georges,140,foodcourt,4.0,16468686000.0,(646) 868-6000,, 40.706200062546294, -74.00226642004867
172,G9b640a2fZs7s6Q-cWPkiQ,Tin Building by Jean-Georges,140,publicmarkets,4.0,16468686000.0,(646) 868-6000,, 40.706200062546294, -74.00226642004867
174,g3jNtkQZVZrrC823oBxdtg,Lafayette Grand Café & Bakery,1415,french,3.5,12125333000.0,(212) 533-3000,$$, 40.727617, -73.993464
176,g3jNtkQZVZrrC823oBxdtg,Lafayette Grand Café & Bakery,1415,brasseries,3.5,12125333000.0,(212) 533-3000,$$, 40.727617, -73.993464
178,g3jNtkQZVZrrC823oBxdtg,Lafayette Grand Café & Bakery,1415,bakeries,3.5,12125333000.0,(212) 533-3000,$$, 40.727617, -73.993464
180,E9IfI8hdEgpufFwMCxP-rg,Atelier Ariana,1,desserts,5.0,12487707628.0,(248) 770-7628,, 40.67645, -73.99771
182,E9IfI8hdEgpufFwMCxP-rg,Atelier Ariana,1,cookingclasses,5.0,12487707628.0,(248) 770-7628,, 40.67645, -73.99771
184,E9IfI8hdEgpufFwMCxP-rg,Atelier Ariana,1,catering,5.0,12487707628.0,(248) 770-7628,, 40.67645, -73.99771
185,E9IfI8hdEgpufFwMCxP-rg,Atelier Ariana,1,caterers,5.0,12487707628.0,(248) 770-7628,, 40.67645, -73.99771
186,hcGcjMrRcVSLzmBIsMIcwQ,Chez Les Frenchies,41,creperies,4.5,13474625346.0,(347) 462-5346,, 40.7687, -73.95182
188,hcGcjMrRcVSLzmBIsMIcwQ,Chez Les Frenchies,41,cafes,4.5,13474625346.0,(347) 462-5346,, 40.7687, -73.95182
190,uwStYTWVMr-0BihJD7CmSQ,Choc O Pain,345,bakeries,4.0,12017105175.0,(201) 710-5175,$$, 40.737588, -74.03221
192,uwStYTWVMr-0BihJD7CmSQ,Choc O Pain,345,french,4.0,12017105175.0,(201) 710-5175,$$, 40.737588, -74.03221
194,uwStYTWVMr-0BihJD7CmSQ,Choc O Pain,345,cookingclasses,4.0,12017105175.0,(201) 710-5175,$$, 40.737588, -74.03221
196,jqTCCgP1P0qv-ouHWynTjQ,Angelina,430,bakeries,4.0,15854385347.0,(585) 438-5347,$$, 40.75316, -73.98491
198,jqTCCgP1P0qv-ouHWynTjQ,Angelina,430,coffee,4.0,15854385347.0,(585) 438-5347,$$, 40.75316, -73.98491
200,jqTCCgP1P0qv-ouHWynTjQ,Angelina,430,french,4.0,15854385347.0,(585) 438-5347,$$, 40.75316, -73.98491
202,Yeyu5eTxwQLwAzixJpQ05Q,Petit Chou,149,bakeries,4.5,19174751620.0,(917) 475-1620,$$, 40.731112, -73.983104
204,Yeyu5eTxwQLwAzixJpQ05Q,Petit Chou,149,cakeshop,4.5,19174751620.0,(917) 475-1620,$$, 40.731112, -73.983104
206,Yeyu5eTxwQLwAzixJpQ05Q,Petit Chou,149,desserts,4.5,19174751620.0,(917) 475-1620,$$, 40.731112, -73.983104
208,Nlxn12mwBJaeoACQWf8CNA,Little Flower,81,coffee,4.5,,,$$, 40.75797, -73.932117
210,Nlxn12mwBJaeoACQWf8CNA,Little Flower,81,sandwiches,4.5,,,$$, 40.75797, -73.932117
212,Nlxn12mwBJaeoACQWf8CNA,Little Flower,81,cafes,4.5,,,$$, 40.75797, -73.932117
214,nBkSqOhZMa1A7Yk3q8VPaA,Dirty French,739,french,4.0,12122543000.0,(212) 254-3000,$$$, 40.72183, -73.98719
217,nBkSqOhZMa1A7Yk3q8VPaA,Dirty French,739,winebars,4.0,12122543000.0,(212) 254-3000,$$$, 40.72183, -73.98719
218,nBkSqOhZMa1A7Yk3q8VPaA,Dirty French,739,lounges,4.0,12122543000.0,(212) 254-3000,$$$, 40.72183, -73.98719
220,06s4v9tM5JLnsa8UlZFHtQ,Frenchy Coffee,149,bakeries,4.5,16468910088.0,(646) 891-0088,$$, 40.78985, -73.94827
222,06s4v9tM5JLnsa8UlZFHtQ,Frenchy Coffee,149,coffee,4.5,16468910088.0,(646) 891-0088,$$, 40.78985, -73.94827
224,06s4v9tM5JLnsa8UlZFHtQ,Frenchy Coffee,149,cakeshop,4.5,16468910088.0,(646) 891-0088,$$, 40.78985, -73.94827
226,8bt4nvGj48sfxN31MSDIxQ,Duane Park Patisserie,115,bakeries,3.5,12122748447.0,(212) 274-8447,$$, 40.7174976, -74.009903
228,TmEPtynTP1qoTqwUbGKyGw,Ladurée,1819,tea,3.5,16463927868.0,(646) 392-7868,$$$, 40.724329, -74.002508
229,TmEPtynTP1qoTqwUbGKyGw,Ladurée,1819,tearooms,3.5,16463927868.0,(646) 392-7868,$$$, 40.724329, -74.002508
230,TmEPtynTP1qoTqwUbGKyGw,Ladurée,1819,macarons,3.5,16463927868.0,(646) 392-7868,$$$, 40.724329, -74.002508
232,TmEPtynTP1qoTqwUbGKyGw,Ladurée,1819,cakeshop,3.5,16463927868.0,(646) 392-7868,$$$, 40.724329, -74.002508
234,cO9E0n9ulzJ6eZ4TKrFx1A,Mille-Feuille Bakery,572,bakeries,4.0,12125334698.0,(212) 533-4698,$$, 40.72933, -73.99808
236,cO9E0n9ulzJ6eZ4TKrFx1A,Mille-Feuille Bakery,572,desserts,4.0,12125334698.0,(212) 533-4698,$$, 40.72933, -73.99808
238,cO9E0n9ulzJ6eZ4TKrFx1A,Mille-Feuille Bakery,572,coffee,4.0,12125334698.0,(212) 533-4698,$$, 40.72933, -73.99808
240,T1r3CMfoIDQf56FRZsU31w,Brooklyn Lantern,18,newamerican,4.0,17183838200.0,(718) 383-8200,$, 40.7376268131285, -73.953510137326
241,T1r3CMfoIDQf56FRZsU31w,Brooklyn Lantern,18,american(new),4.0,17183838200.0,(718) 383-8200,$, 40.7376268131285, -73.953510137326
242,T1r3CMfoIDQf56FRZsU31w,Brooklyn Lantern,18,cocktailbars,4.0,17183838200.0,(718) 383-8200,$, 40.7376268131285, -73.953510137326
245,T1r3CMfoIDQf56FRZsU31w,Brooklyn Lantern,18,breakfast&brunch,4.0,17183838200.0,(718) 383-8200,$, 40.7376268131285, -73.953510137326
246,jz_FnuRpCNzfwwHHQ6Nbeg,Schmackary's,2227,desserts,4.0,16468019866.0,(646) 801-9866,$, 40.760153883881, -73.990944257291
248,jz_FnuRpCNzfwwHHQ6Nbeg,Schmackary's,2227,bakeries,4.0,16468019866.0,(646) 801-9866,$, 40.760153883881, -73.990944257291
250,jz_FnuRpCNzfwwHHQ6Nbeg,Schmackary's,2227,coffee,4.0,16468019866.0,(646) 801-9866,$, 40.760153883881, -73.990944257291
252,g-jYDMWZqwkFvYea6_seEA,Patisserie Chanson,9,bakeries,3.0,16314641388.0,(631) 464-1388,, 40.771135, -73.959347
254,g-jYDMWZqwkFvYea6_seEA,Patisserie Chanson,9,desserts,3.0,16314641388.0,(631) 464-1388,, 40.771135, -73.959347
257,g-jYDMWZqwkFvYea6_seEA,Patisserie Chanson,9,breakfast&brunch,3.0,16314641388.0,(631) 464-1388,, 40.771135, -73.959347
258,GdlhaVp8sSJKqU1A1ghFmA,Julien Boulangerie,43,coffee,3.5,,,, 40.76941, -73.9521
260,GdlhaVp8sSJKqU1A1ghFmA,Julien Boulangerie,43,bakeries,3.5,,,, 40.76941, -73.9521
262,GdlhaVp8sSJKqU1A1ghFmA,Julien Boulangerie,43,desserts,3.5,,,, 40.76941, -73.9521
264,Rod4hJT8F6qrgLuPL81iVQ,Le Carré Café & Pâtisserie,12,cakeshop,5.0,12019428777.0,(201) 942-8777,, 41.002238, -74.040277
266,Rod4hJT8F6qrgLuPL81iVQ,Le Carré Café & Pâtisserie,12,desserts,5.0,12019428777.0,(201) 942-8777,, 41.002238, -74.040277
268,Rod4hJT8F6qrgLuPL81iVQ,Le Carré Café & Pâtisserie,12,sandwiches,5.0,12019428777.0,(201) 942-8777,, 41.002238, -74.040277
270,pouoo9mYR8A71DapTBwxmg,Petite Maman,3,cafes,1.0,,,, 40.75162, -73.99745
272,pouoo9mYR8A71DapTBwxmg,Petite Maman,3,french,1.0,,,, 40.75162, -73.99745
274,pouoo9mYR8A71DapTBwxmg,Petite Maman,3,coffee,1.0,,,, 40.75162, -73.99745
277,HmdfmqoihabsEbGfslngrQ,Le Pain Quotidien,209,breakfast&brunch,3.5,16466528186.0,(646) 652-8186,$$, 40.715005, -74.009327
278,HmdfmqoihabsEbGfslngrQ,Le Pain Quotidien,209,coffee,3.5,16466528186.0,(646) 652-8186,$$, 40.715005, -74.009327
280,HmdfmqoihabsEbGfslngrQ,Le Pain Quotidien,209,bakeries,3.5,16466528186.0,(646) 652-8186,$$, 40.715005, -74.009327
282,e1kUb_b2SItWazvnMJF-ng,Sook Pastry,920,bakeries,4.5,12014932500.0,(201) 493-2500,$$, 40.979123, -74.12077
284,e1kUb_b2SItWazvnMJF-ng,Sook Pastry,920,desserts,4.5,12014932500.0,(201) 493-2500,$$, 40.979123, -74.12077
286,e1kUb_b2SItWazvnMJF-ng,Sook Pastry,920,cafes,4.5,12014932500.0,(201) 493-2500,$$, 40.979123, -74.12077
288,dMe1eni3-zoz1gFZTZpjGA,Caffe Bene,151,coffee,3.0,17184240768.0,(718) 424-0768,$$, 40.7497126, -73.885855
291,dMe1eni3-zoz1gFZTZpjGA,Caffe Bene,151,breakfast&brunch,3.0,17184240768.0,(718) 424-0768,$$, 40.7497126, -73.885855
292,dMe1eni3-zoz1gFZTZpjGA,Caffe Bene,151,cakeshop,3.0,17184240768.0,(718) 424-0768,$$, 40.7497126, -73.885855
294,MXfDg1qs9h2254F-z2pQsg,Madame Bonté,63,cafes,4.5,19174095555.0,(917) 409-5555,, 40.7761, -73.95185
297,MXfDg1qs9h2254F-z2pQsg,Madame Bonté,63,breakfast&brunch,4.5,19174095555.0,(917) 409-5555,, 40.7761, -73.95185
299,MXfDg1qs9h2254F-z2pQsg,Madame Bonté,63,winebars,4.5,19174095555.0,(917) 409-5555,, 40.7761, -73.95185
300,ddiy4w7qS6VVxqHCIcYJ9w,Choc O Pain JC,277,bakeries,4.0,12014352462.0,(201) 435-2462,$$, 40.7210499372382, -74.046322
302,ddiy4w7qS6VVxqHCIcYJ9w,Choc O Pain JC,277,coffee,4.0,12014352462.0,(201) 435-2462,$$, 40.7210499372382, -74.046322
304,ddiy4w7qS6VVxqHCIcYJ9w,Choc O Pain JC,277,desserts,4.0,12014352462.0,(201) 435-2462,$$, 40.7210499372382, -74.046322
306,n-hBKsnFFUpe-y00EZrOqg,Amy's Bread,1197,bakeries,4.0,12129772670.0,(212) 977-2670,$, 40.76121, -73.99024
308,n-hBKsnFFUpe-y00EZrOqg,Amy's Bread,1197,sandwiches,4.0,12129772670.0,(212) 977-2670,$, 40.76121, -73.99024
310,n-hBKsnFFUpe-y00EZrOqg,Amy's Bread,1197,coffee,4.0,12129772670.0,(212) 977-2670,$, 40.76121, -73.99024
312,1dNYcnZPJJKPI56an0AB4Q,Cafe Bilboquet,99,cafes,3.5,16468698660.0,(646) 869-8660,$$, 40.763789, -73.9704258
314,1dNYcnZPJJKPI56an0AB4Q,Cafe Bilboquet,99,cakeshop,3.5,16468698660.0,(646) 869-8660,$$, 40.763789, -73.9704258
317,8xYvp9j7j8RCRQGsiRRujQ,La Bergamote NYC,402,breakfast&brunch,4.0,12126279010.0,(212) 627-9010,$$, 40.745044, -74.002863
318,8xYvp9j7j8RCRQGsiRRujQ,La Bergamote NYC,402,sandwiches,4.0,12126279010.0,(212) 627-9010,$$, 40.745044, -74.002863
320,8xYvp9j7j8RCRQGsiRRujQ,La Bergamote NYC,402,french,4.0,12126279010.0,(212) 627-9010,$$, 40.745044, -74.002863
322,aljEnhQthQwifG971tY1mA,Everyman Espresso,398,coffee,4.0,12125330524.0,(212) 533-0524,$$, 40.7327852478612, -73.9883291989235
324,dEeoUUDdU_s2d0x_4MCU_A,Cafe Riviera,121,bakeries,4.0,17183838450.0,(718) 383-8450,$, 40.7286629, -73.953337
326,dEeoUUDdU_s2d0x_4MCU_A,Cafe Riviera,121,cafes,4.0,17183838450.0,(718) 383-8450,$, 40.7286629, -73.953337
328,uwPfP8Eac1skrm0FG6K-UA,Pomme Palais,100,desserts,4.0,12128887000.0,(212) 888-7000,$$, 40.7581433, -73.9746727
330,uwPfP8Eac1skrm0FG6K-UA,Pomme Palais,100,bakeries,4.0,12128887000.0,(212) 888-7000,$$, 40.7581433, -73.9746727
332,Jt4UFI2XdWb4bteMqzg3rg,Le French Dad Boulangerie,81,bakeries,4.5,19737460288.0,(973) 746-0288,$$, 40.81363, -74.21791
334,Jt4UFI2XdWb4bteMqzg3rg,Le French Dad Boulangerie,81,desserts,4.5,19737460288.0,(973) 746-0288,$$, 40.81363, -74.21791
336,Jt4UFI2XdWb4bteMqzg3rg,Le French Dad Boulangerie,81,cakeshop,4.5,19737460288.0,(973) 746-0288,$$, 40.81363, -74.21791
338,gFAWNtCf_HvvMbNBmpMwcg,Swiss Pastry Shoppe,74,bakeries,4.5,19083224751.0,(908) 322-4751,$$, 40.64596, -74.40006
340,_G6lH3rUyhyIxXHyQWFlag,Bien Cuit,435,bakeries,3.5,17188520200.0,(718) 852-0200,$$, 40.6877048, -73.9900535
342,_G6lH3rUyhyIxXHyQWFlag,Bien Cuit,435,french,3.5,17188520200.0,(718) 852-0200,$$, 40.6877048, -73.9900535
344,_G6lH3rUyhyIxXHyQWFlag,Bien Cuit,435,cafes,3.5,17188520200.0,(718) 852-0200,$$, 40.6877048, -73.9900535
346,5UTnfTDc9suJj2eOzm1Uvw,Bakerie,29,bakeries,3.0,17186938248.0,(718) 693-8248,$$, 40.672062, -73.9393643397305
348,5UTnfTDc9suJj2eOzm1Uvw,Bakerie,29,coffee,3.0,17186938248.0,(718) 693-8248,$$, 40.672062, -73.9393643397305
350,5UTnfTDc9suJj2eOzm1Uvw,Bakerie,29,cakeshop,3.0,17186938248.0,(718) 693-8248,$$, 40.672062, -73.9393643397305
353,EKjqSwmhfJFFQQxAJttotQ,The Grand Salon and The Bar,9,breakfast&brunch,4.0,12127908867.0,(212) 790-8867,, 40.76087041889416, -73.97743141982164
354,EKjqSwmhfJFFQQxAJttotQ,The Grand Salon and The Bar,9,lounges,4.0,12127908867.0,(212) 790-8867,, 40.76087041889416, -73.97743141982164
356,EKjqSwmhfJFFQQxAJttotQ,The Grand Salon and The Bar,9,cocktailbars,4.0,12127908867.0,(212) 790-8867,, 40.76087041889416, -73.97743141982164
358,LlFzCkSDiDlAcFFodVJvuA,Le Paris Dakar,205,creperies,4.5,13479554100.0,(347) 955-4100,$$, 40.681187643070906, -73.9499997
